Hotel_Name,Average_Score,Hotel_Address,Review_Date,Postal_Code,City,lat,lng,Clean_Tags,Positive_Review,Negative_Review
Andaz London Liverpool Street,9.0,40 Liverpool Street City of London London EC2M 7QN United Kingdom,7/7/2017,EC2M 7QN,London,51.5172825,-0.0812451,"Leisure trip, Couple, Queen Room, Stayed 2 nights","The staff were particularly pleasant making us feel welcome from the out set and the fruit bowls in the foyer were a bonus Complimentary soft drinks in the room fridge were a welcome feature of this hotel takes away the fear of drinking a bottle of water only to find a whopping charge at check out The location is spot on with everything you could want close by Liverpool street station is practically next door but we had no train noise disturbing us, Very friendly clean and a free bottle of wine and cake for my birthday which was a lovely surprise, We booked this hotel as a base for our wedding All the staff were extremely welcoming and helpful In particular Ali on the front desk was very helpful and resolved a booking mix up The Housekeeping staff were also brilliant on the wedding day as the bridal party got ready by bringing extra mirrors chairs and mirrors to the room","I don t think anything could have improved our stay very satisfied, I really struggled to find anything but the approach into the hotel reception was a bit dark and at first I thought the reception area was just guest on computers not clear that it s the reception area BUT everyone very helpful, All perfect"
Apex City Of London Hotel,9.0,No 1 Seething Lane City of London London EC3N 4AX United Kingdom,8/2/2017,EC3N 4AX,London,51.5104624,-0.0795502,"Leisure trip, Family with young children, 2 rooms, Stayed 2 nights, Submitted from a mobile device","Staff were courteous and helpful especially Katya on reception Rooms were lovely and spacious and had all we needed Bath was huge and really relaxing, Good size room well soundproofed Modern finishes big shower Kettle in room, Staff were excellent as always moved us to a better upgrade room which was much better and we thourghly enjoyed our stay","Although bathroom was lovely shower could have been cleaner seal around edges very dirty Breakfast too expensive, Bigger choice of pillows Reception generally very friendly but check in not handled well, Nothing really breakfasts were a little pricey but it was London"
Apex London Wall Hotel,9.1,7 9 Copthall Avenue City of London London EC2R 7NJ United Kingdom,7/17/2017,EC2R 7NJ,London,51.5160484,-0.0880181,"Leisure trip, Group, City King or Twin Room, Stayed 2 nights","Our room was spacious and a comfortable place to relax in after a hard day sightseeing and visiting relatives The staff were exceptional charming helpful and efficient, We had a balcony room that was a welcome relief as the night was quite warm so we opened the balcony doors Comfy bed huge shower Staff were incredibly attentive and friendly so eager to please, Room was excellent and the staff were friendly especially one lady on reception but unfortunately I didn t get her name","I can t think of anything I didn t like about this hotel, It s a little thing but the housekeeping staff let the show down just a little as we found crumbs all over the floor when we moved a chair For a balcony room it was quite small, Lack of advice as to how breakfast was served Would rather have had a help yourself situation when choosing the continental style breakfast Being able to select what you want would mean that there was less wastage Ordering for cooked breakfast was fine as you knew exactly what you were ordering"
Apex Temple Court Hotel,9.2,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,8/2/2017,EC4Y 1LL,London,51.5137335,-0.1087512,"Leisure trip, Couple, Deluxe King Room with Club Lounge Access and Balcony, Stayed 1 night","They have followed through special requests Comfortable bed wide choices for breakfast and very clean, We had the most basic room which was great value as well as spacious and comfortable, Very large room Hidden courtyard view with backdrop of the city is beautiful Short walk to public transport Blackfriars Tube Station and Temple Station","Difficult to locate the phone to contact reception lack toilet itineraries and it was difficult to locate these, Not a fan of the breakfast to be honest the eggs were quite watery Also we did not buy breakfast in advance which was good because when you arrive they give you a 25 off voucher I would have been very annoyed if I had paid full price in advance and the person next to me got a better deal, No problems at all"
Arbor City,8.9,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,7/4/2017,E1 6TE,London,51.5166755,-0.0697897,"Couple, Club Double Room, Stayed 1 night","Great cocktails in the bar very helpful staff, The room was a good size and clean the bed was comfortable it was quiet with the windows shut the air conditioner worked well The coffee was excellent we had lunch in the restaurant which was very nice, We have stayed here 2 times before we pick this hotel for the location and the room is what it says on the can Very good Turkish restaurant next door","We arrived late after a delayed journey and the kitchen had closed a few minutes early so we couldn t even get a sandwich, There was a winter weight duvet on the bed which was a bit warm for the summer so I had to take it out of the cover and just use the cover, The view from the window is only the car park and the light is on all night So be sure to shut your curtains and eyes"
Arbor Hyde Park,8.4,36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,8/2/2017,W2 3NA,London,51.5126488,-0.1803795,"Leisure trip, Family with young children, Executive Family Room, Stayed 2 nights, Submitted from a mobile device","Great staff lovely rooms and a good continental breakfast, Stylish decor and great location right on bus route to Oxford Circus and Picadilly Circus The continental breakfast was excellent Double bed was big and comfortable Lovely bathroom 24 hour desk, The Hotel is Located in Square no traffic noise close to Hyde park and tube station in walking distance of Oxford Street Rooms immaculate Continental Breakfast excellent will defiantly go back","Air con in room was either freezing or hot don t think the thermostat worked sheets on bed were poorly fitted otherwise very good, Children slept on sofa bed which wasn t so comfortable No restaurant on site, Better directions bit hard to find No parking Tiny bar"
Ashburn Hotel,8.6,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,6/27/2017,SW7 4DP,London,51.4945522,-0.1861213,"Leisure trip, Couple, Queen Double Room, Stayed 1 night","The staff were amazingly helpful and friendly We loved the welcome glass of proscecco too, Not a very large room but very ckean and comfortabke thick carpets large comfy bed and lovely shower room Air con most welcome, The proximity to the Gloucester Road tube station was excellent We used the Gatwick express to get from the airport to Victoria station From the hotel we walked to Harrods and then to Kensington High street in the other direction There were lots of attractions restaurants bars within walking distance too Even though the hotel was fully booked it was so quiet there were a few other people in the bar when we arrived back at teatime for our free prosecco but we really didn t see anyone until breakfast Continental breakfast was really fresh with a great variety and good coffee You can order a hot breakfast if you want and pay a bit extra We requested a late check out and this was extended to 1 pm which was fantastic as we had to get dressed to attend the Queen s garden party I would absolutely recommend this hotel and would like to go back","The room was a little small but perfectly adequate the bed was a little hard, One bath robe had a hole in and stsined belt, The room was excellent but the bed mattress for me did not have enough comfort layers above the very firm springs First night was not good but for the second night I put the duvee above the mattress and slept on the duvee with dressing gown and blanket over me much more comfortable and slept well"
Avo Hotel,8.1,82 Dalston Lane Hackney London E8 3AH United Kingdom,7/12/2017,E8 3AH,London,51.5460628,-0.0700817,"Leisure trip, Couple, Budget Double Room Second Floor, Stayed 1 night, Submitted from a mobile device","I would like to say that the guy called lee was so helpful really nice person made me and my boyfriend feel so comfortable staying there, Friendly staff offered a free drink on arrival and as we were there too early to check in they put our bags in our room for us as we had to head straight out Breakfast was nice and again friendly staff in the morning, Staff very helpful on arrival and they arranged purchase of our parking coupon The facilities were modern and clean with everything we needed plus a nice view from the window A cosy feel Although we did not eat there the aroma of the small restaurant was lovely","The main toilets downstairs were not nice bed was not as big as expected but was nice, I would have preferred more details with regards to parking not just discovering on arrival that there was no parking onsite but that we had to pay around 8 to purchase and drive down a particular street to find parking We did not mind doing all this but some forewarning would have saved us the worry when we arrived to find no parking After reading in the handbook that an early breakfast before 8am was sometimes available we booked breakfast only to discover this was not available and the receptionist did not want to refund us despite advising by 6pm night before We waited until a new member of staff came on duty and our money was refunded without question Our room was lovely but very very tiny as was the shower, I would skip the breakfast and nip round the corner to Healthy Stuff"
BEST WESTERN Maitrise Hotel Maida Vale,7.1,53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom,7/30/2017,NW6 5SB,London,51.5366053,-0.1919832,"Business trip, Solo traveler, Executive King Room, Stayed 1 night","Did not have breakfast I booked the hotel for my son who was on a business trip, The room was a good size The restaurant downstairs was incredible Very friendly and food was beautiful, The bed was so comfortable and the staff were really friendly and helpful Location is only 3 minutes from Kilburn Park tube and their are 2 pubs and a tesco nearby which is convienient","My son said that he wished he had spent more time at the hotel which is a good recommendation, Not much I could say really everything was satisfactory, nothing if i had to nitpick i would nt want to be hanging about the area after 11 30pm as a lone female traveller but that is not the hotel s fault"
Baglioni Hotel London The Leading Hotels of the World,9.0,60 Hyde Park gate Kensington and Chelsea London SW7 5BB United Kingdom,7/19/2017,SW7 5BB,London,51.5017224,-0.1846243,"Leisure trip, Couple, Deluxe Double Room, Stayed 1 night, Submitted from a mobile device","Almost everything, Bedroom was stylish and comfortable A very pleasant place to be The bar terrace was a special place for a drink or meal, The Maserati Quattro Porte We booked it for the transfer from Kings Cross but then also took advantage of the complimentary service provided by the hotel Staff were all very friendly and the concierge was incredibly helpful when our concert was cancelled at arranging something else for us to do Food at the Italian restaurant was delicious","The extra service charges presumed on your final bill after your stay that go automatically onto the bill I HATE THAT if I wanted to tip I would add it to each bill but they already did this too anyway I am minted so it s not a problem however this is just a bit much and should change, The dinner was fine but not memorable, Poor room view Food was excellent in restaurant but surroundings setting could be better but assume that is down to lack of space The service throughout is excellent but in the restaurant the waiter was what I would describe as too keen He whipped plates away before one of us had finished eating which I was brought up to believe was bad manners etiquette and he was a bit pushy trying to get us to have a second main course"
Batty Langley s,9.4,12 Folgate Street City of London London E1 6BX United Kingdom,8/2/2017,E1 6BX,London,51.5208575,-0.0779503,"Leisure trip, Couple, Deluxe Double Room, Stayed 1 night","The hotel has been beautifully restored but contains many beautiful antique pieces Everything about the hotel reflects opulence and luxury Everywhere you look is beautifully constructed furnished and decorated Just perfect, The staff were absolutely brilliant they did everything they could to make our stay as comfortable as possible We had a problem with our tap and they let us take as much water from the mini bar as we liked free of charge They even brought more up without being asked The design and decor of the hotel is beautiful it s very charming The 12pm check out time was appreciated, Boutique hotel 29 rooms in the style of a Georgian gentleman s residence on a lovely old street off the very modern Bishopsgate Equidistant from Shoreditch and the city and an easy walk in both directions There is a decent pub with nice terrace opposite 5 mins from Liverpool St The three reception rooms are charmingly and elegantly furnished with antiques and the whole hotel has a quirky feel rather than stuffy and old fashioned Our room despite not being contemporary had all modern requirements including plenty of sockets and good wifi The antique bed was supremely comfortable with luxurious bedlinen The room and bathroom were charmingly furnished The bathroom with its copper shower bath and REN toiletries was a treat to spend time in Staff were friendly helpful and efficient We enjoyed a breakfast in bed of delicious bacon sandwiches one morning Highly recommended Considering that a few weeks ago I paid 200 for a night in the Victoria Premier Inn we feel that Batty Langley s is excellent value","Nothing, We were little disappointed to not have a bath in the room when all the photos show lovely roll top baths but the rain shower was good Our cold tap was running hot too not something I d expect in such a pricey hotel but it is an old building I suppose As mentioned before they did let us take bottled water for free in recompense The breakfast options were a little limited and incredibly over priced considering how much the rooms are so we did not bother, We were enjoying a quiet drink from the honesty bar in the drawing room when two separate groups came in to have meetings One left but the other a group of six men continued their meeting including a conference call without even asking if they were disturbing us A table next to the bath for toiletries would be very useful"
Bentley London,8.4,27 33 Harrington Gardens Kensington and Chelsea London SW7 4JX United Kingdom,7/18/2017,SW7 4JX,London,51.4928147,-0.1841753,"Leisure trip, Couple, Deluxe King Room, Stayed 1 night, Submitted from a mobile device","Our room was amazing as they upgraded us to a junior suite The food was amazing too Enjoyed using the spa bath 12 checkout was very helpful to We had a massage too Cannit fault the place and would really love to return Donna, We stayed for our wedding night as our evening reception was in London and the room was beautiful and so comfortable The Bentley made it extra special by kindly upgrading us to a suite which was a lovely surprise They also arranged for an extra full length mirror so I could get ready, The staff were very welcoming helpful We had an upgrade to a junior suite which was luxurious peaceful The location was very quiet but close enough to the tube station access to attractions","I don t really think there was anything Parking would have been good also just one thing on the massage when they lay you on your back to do the massage they could cover uour eyes with an eye mask or something similar Bit bor relaxing and little less embarrassing Other than that nothing Everything was perfect, Nothing much but the dining room could do with a little refurbishing, N A"
Bermondsey Square Hotel A Bespoke Hotel,8.3,Tower Bridge Road Southwark London SE1 3UN United Kingdom,8/3/2017,SE1 3UN,London,51.4991134,-0.0790969,"Business trip, Couple, Double Room with Terrace, Stayed 4 nights, Submitted from a mobile device","The hotel is brilliant we had a terrace The area is very relaxing A nice community The staff were amazingly helpful A cinema is 20 yards away There is a market there once a week I shall try to stay there every time I go to London It was like living in London staying there The room was very modern and well designed I have never raved so much about a hotel before Please stay there if you can, This place is amazing Super comfortable beds Clean and well presented rooms The view was stunning we could see bit ben the London eye the shard and the gherkin from our window On the evening we left the curtains open so we could see it Amazing walk in shower was like a waterfall Great TV reception and I can t thank the staff enough for being so helpfull Even helping us choose the right bus routes for where we needed to go Right next to a park so pretty quiet to We had a continental breakfast and it was one of the best I have had due to the fresh meats cheese and pastrys available ALeo there is a mini Sainsburys across the rd so handy for grabbing snacks and drinks I will be going back again Thank u for making our weekend one to remember, Bespoke hotel and bespoke breakfast excellent Charming Square and very pleasant Quirky room design Loved the wet room shower Reception girls brilliant","Nothing you are near the south bank tower bridge Borough Market, A little closer to the underground would be good but they can t realy help the location Tbh it was only a 10 minutes walk to the tube and lots of buses stopnear by, Fussy rules for breakfast option Omelette choice did not allow my wife to have continental breakfast as well Not an easy location to get to If you re looking for close proximity to a station forget it"
Best Western Maitrise Hotel Edgware Road,6.6,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,6/15/2017,W2 1EA,London,51.521148,-0.171346,"Business trip, Solo traveler, Standard Double Room, Stayed 1 night","Albeit small the room was modern very clean and very practical Overall this is an excellent value for money for london as long as all you need is a clean comfortable room to sleep, Staff were friendly Comfy bed Very clean room Location was good Very near to Tube Lots of places to great some food It felt a safe area, Only seconds from the underground and even though it s situated on a main road we didn t notice the traffic noise in the room Yes it is a small room but every time we have stayed in London the rooms have always been small We were concerned after booking this hotel as reviews didn t read well but we had no problems at all staff were polite and attentive room was clean location was excellent","a bit noisy from the street, Room was tiny space for a double bed and I missed there being a window It s ok for one person and just sleeping For a long leisure stay it would feel cramped, Room sheets needs be changed it is obvious that it has been used a lot the wall has a lot of marks from luggage that could be easily cleaned"
Best Western Mornington Hotel Hyde Park,8.0,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,7/19/2017,W2 3LG,London,51.5119933,-0.1782794,"Leisure trip, Couple, Economy Double Room, Stayed 1 night","Great location just a short walk from Lancaster Gate Tube station Hyde Park and Kensington Gardens are only a minute away too Nice pub The Swan lively atmosphere around the corner Room was small but very comfortable and had the best nights sleep in weeks, Clean and modern Very quiet and location perfect, Location just next to Hyde Park Clean room Good breakfast Price on Booking com","Breakfast room was probably too small we went at the busiest time and staff struggled to keep up with demand We only just got a table That said we weren t in a rush and after waiting a few minutes the juice bread and hot breakfast were all replenished and we enjoyed a lovely breakfast, Room a little small OK for one person but not big enough for two Limited wardrobe space no drawer space Very hot weekend even with air con it was still a bit hot in the room overnight not the fault of the hotel though, Room very small but it was only for 1 night so ok bathroom tiny lots of random steps on each floor take care"
Best Western PLUS Epping Forest,7.5,Epping Forest 30 Oak Hill London IG8 9NY United Kingdom,7/22/2017,IG8 9NY,London,51.603207,0.010607,"Business trip, Solo traveler, Standard Double Room, Stayed 2 nights","Great location close to N Circular ample parking and friendly staff Will stay again, Room was just like the like pictures The staff were really friendly Really easy to get to Our room was really clean too, Staff receptionist and Manager were extremely helpful Very lovely ladies","Mattress was not comfortable I d also left on booking notes that I was allergic to down On arrival pillows were down replacements took over an hour to source, Breakfast was ok Lots of choice which was great just wasn t as tasty lack flavour, Family rooms are Suited just above a function room in case of party it might be a bit noisy"
Best Western Palm Hotel,7.9,64 76 Hendon Way London NW2 2NL United Kingdom,7/15/2017,NW2 2NL,London,51.5634756,-0.2042758,"Business trip, Solo traveler, Executive Double Room, Stayed 1 night","Stay here whenever I travel to London for work Tube a 10 minute walk away so perfect location Rooms are spacious and food is great Had room service a few times and always brought up quickly, Everything was great I I had to be at all picky it would be the breakfast staff struggled to keep the food out and kept running out of different items so a queue kept building up waiting for various items but when it was out the food was really nice, Staff very friendly rooms clean and comfortable only 15 minutes walk from a underground station with good links to central london","Only gripe I have is that the last time I visited I booked the executive room and the shower would not stay up and the shower head kept slipping down Made it a little difficult to shower Other than that the hotel is perfect for what I need, As above, Breakfast was very poor quality it was all cold and sausage wasn t cooked probably"
Best Western Plus Seraphine Hammersmith Hotel,7.8,84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,8/2/2017,W6 0QW,London,51.4926269,-0.2288598,"Leisure trip, Family with young children, Double Room with Sofa Bed, Stayed 2 nights","The staff was friendly and helpful and the hotel looks new ish, Lovely clean modern room with air conditioning and very nice shower, Problem with mould on the sofa bed Staff seemed very shocked and we re obviously unaware of the problem Was dealt with a professional manner Even down to three shampoo shower gel and water etc","The rooms are very small even the one to fit 3 people The breakfast is limited and it when busy you might have to wait a bit too long to get more food out, My only small complaint was being charged 1 50 by night staff for a couple of extra tea bags, The lights and electric with the key card kept mucking up so the lights at either side of bed were on all night couldn t switch them off even when taking key card out"
Best Western Seraphine Kensington Olympia,7.4,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,8/2/2017,W8 6SA,London,51.4992791,-0.1973593,"Leisure trip, Group, Executive Double Room, Stayed 2 nights","after a shaky start with getting the room type we booked wrong the gent Aranit on reception was a total diamond helping us weary travelers get the room we needed, The bed was so comfy and the coffee machine was amazing Best hot chocolate ever The location was fantastic too, Great value comfy bed Room had everything that you may want for a short stay Close to tube station Nice shopping street with variety of bars and restaurants close by","could have made the wifi easier to connect to, Our view was looking onto a wall The lift is tiny can t fit more than 1 person in, Compact room ok for a short stay but would be a little too small for a longer stay with more luggage Restaurant being refurbished so breakfast was limited"
Best Western The Boltons Hotel London Kensington,7.7,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,8/3/2017,SW5 9TT,London,51.4907493,-0.1934627,"Leisure trip, Couple, Executive Double Room, Stayed 1 night, Submitted from a mobile device","Helpful staff lovely room very clean good location, We stayed here for three days for a festival in town The staff were really nice and helpful and the breakfast was kept hot and replenished regularly for the duration of their breakfast hours The room itself was nice they clean regularly unless you tell them not to and there was a big comfy bed that my friend and I had no problem sharing, The hotel was very conveniently situated at a comparatively reasonable price the room was quiet and clean and the staff polite and friendly I only needed a brief overnight stay for a business meeting the next day but took the opportunity to meet with family during the previous evening so i just needed a basic but safe and clean overnight stay near to transport links","Lift very small And had to wait for breakfast as everyone seemed to be there at same time and weren t enough tables, The neighbourhood was pretty quiet at night but not too convenient if you re looking for somewhere close to the coach station or sites The elevator is very small It s fine when you re my size and on your own but not so convenient for two women with luggage in tow We had to take it up one at a time to our rooms with our luggage and the elevator runs pretty slowly so it took a few minutes to go up and come back down The walls of the hotel are somewhat thin you can hear when people walk past your room Other than that we didn t have any issues with the accommodations themselves and we had a great time, The room was clearly created by splitting a larger room and because i am quite tall I found the room was quite cramped with a tiny but just adequate shower bathroom For an overnight stay it was adequate"
Blakemore Hyde Park,8.5,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,8/2/2017,W2 3AN,London,51.5129736,-0.1837431,"Leisure trip, Group, 2 rooms, Stayed 2 nights","great value for money very helpful friendly staff very clean comfortable rooms will definetly stay again and recommend to friends and family, enjoyed my stay would recommend to my family and friends, On arrival we upgraded to a Suite which was a nice touch Staff very helpful and pleasant","a little far out but then again it was very quiet and in a good area, the lift broke down in which my son got stuck in there for 15 minutes on the Monday evening around 9pm, No Sky TV we had planned to watch the Lions match which started at 8 30 a m but were told this was not available and we went to a pub down the road"
